Name,G,GS,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,Name-additional
,,,,,,,,,,,,,,-9999
Stephen Piscotty,42,38,0,0,0,0,0,0,5,0,28,32,8,piscost01
Nick Pivetta,33,33,33,0,0,0,0,0,0,0,0,0,0,pivetni01
Michael Plassmeyer,2,0,2,0,0,0,0,0,0,0,0,0,0,plassmi01
Kevin Plawecki,64,49,1,61,0,0,0,0,0,0,0,0,0,plaweke01
Zach Plesac,25,24,25,0,0,0,0,0,0,0,0,0,0,plesaza01
Nick Plummer,14,8,0,0,0,0,0,0,4,0,5,9,5,plummni01
Colin Poche,65,0,65,0,0,0,0,0,0,0,0,0,0,pocheco01
Jorge Polanco,104,103,0,0,0,97,0,6,0,0,0,0,5,polanjo01
AJ Pollock,138,123,0,0,0,0,0,0,107,37,14,137,0,polloaj01
Zach Pop,36,0,36,0,0,0,0,0,0,0,0,0,0,popza01
Sean Poppen,29,0,29,0,0,0,0,0,0,0,0,0,0,poppese01
Cody Poteet,12,2,12,0,0,0,0,0,0,0,0,0,0,poteeco01
Nick Pratto,49,46,0,0,43,0,0,0,7,0,1,8,0,prattni01
Ryan Pressly,50,0,50,0,0,0,0,0,0,0,0,0,0,pressry01
David Price,40,0,40,0,0,0,0,0,0,0,0,0,0,priceda01
Ford Proctor,7,6,0,1,0,6,0,0,0,0,0,0,0,proctfo01
Jurickson Profar,152,147,0,0,0,0,0,0,146,0,0,146,6,profaju01
Austin Pruitt,39,1,39,0,0,0,0,0,0,0,0,0,0,pruitau01
Albert Pujols,109,80,1,0,22,0,0,0,0,0,0,0,69,pujolal01
A.J. Puk,62,0,62,0,0,0,0,0,0,0,0,0,0,pukaj01
Cal Quantrill,32,32,32,0,0,0,0,0,0,0,0,0,0,quantca01
José Quijada,42,0,42,0,0,0,0,0,0,0,0,0,0,quijajo01
Roman Quinn,44,22,0,0,0,0,0,0,11,28,8,44,0,quinnro01
José Quintana,32,32,32,0,0,0,0,0,0,0,0,0,0,quintjo01
Esteban Quiroz,14,10,0,0,0,12,0,0,0,0,0,0,0,quiroes01
Cole Ragans,9,9,9,0,0,0,0,0,0,0,0,0,0,raganco01
Tanner Rainey,29,0,29,0,0,0,0,0,0,0,0,0,0,raineta01
Cal Raleigh,119,100,0,115,0,0,0,0,0,0,0,0,1,raleica01
Brooks Raley,60,0,60,0,0,0,0,0,0,0,0,0,0,raleybr01
Luke Raley,22,18,0,0,3,0,0,0,7,0,8,14,4,raleylu01
Erasmo Ramírez,60,2,60,0,0,0,0,0,0,0,0,0,0,ramirer02
Harold Ramírez,120,98,0,0,32,0,0,0,5,0,24,29,52,ramirha02
José Ramírez,157,157,0,0,0,0,127,0,0,0,0,0,30,ramirjo01
Noé Ramirez,55,0,55,0,0,0,0,0,0,0,0,0,0,ramirno01
Yohan Ramirez,30,0,30,0,0,0,0,0,0,0,0,0,0,ramiryo01
Heliot Ramos,9,7,0,0,0,0,0,0,3,0,6,8,0,ramoshe02
Drew Rasmussen,28,28,28,0,0,0,0,0,0,0,0,0,0,rasmudr01
Robbie Ray,32,32,32,0,0,0,0,0,0,0,0,0,0,rayro02
