Name,WAR,Name-additional
Jose Valverde,1.1,valvejo01
Rick van den Hurk,-0.2,vanderi01
Jonathan Van Every*,-0.1,vanevjo01
Claudio Vargas,-0.5,vargacl01
Jason Vargas*,2.6,vargaja01
Anthony Varvaro,-0.2,varvaan01
Esmerling Vasquez,-0.3,vasques01
Javier Vazquez,-0.6,vazquja01
Jonny Venters*,1.3,ventejo01
Jose Veras,0.6,verasjo01
Justin Verlander,4.4,verlaju01
Carlos Villanueva,-0.1,villaca01
Henry Villar,0.0,villahe02
Pedro Viola*,-0.1,violape01
Edinson Volquez,0.5,volqued01
Chris Volstad,1.5,volstch01
Billy Wagner*,2.5,wagnebi02
Adam Wainwright,6.2,wainwad01
Tim Wakefield,-0.6,wakefti01
Jordan Walden,0.4,waldejo01
Tyler Walker,0.2,walkety01
P.J. Walters,-0.4,waltepj01
Jeff Weaver,-0.6,weaveje01
Jered Weaver,5.2,weaveje02
Ryan Webb,0.4,webbry01
Robbie Weinhardt,-0.9,weinhro01
Todd Wellemeyer,-0.6,welleto01
Randy Wells,2.8,wellsra01
Sean West*,-0.2,westse01
Jake Westbrook,1.8,westbja01
Dan Wheeler,0.3,wheelda01
Sean White,-0.3,whitese02
Randy Williams*,-0.1,willira01
Dontrelle Willis*,-0.2,willido03
Brian Wilson,2.8,wilsobr01
C.J. Wilson*,5.0,wilsocj01
Randy Wolf*,1.5,wolfra02
Ross Wolf,0.0,wolfro01
Blake Wood,0.1,woodbl01
Kerry Wood,0.9,woodke02
Tim Wood,-0.4,woodti01
Travis Wood*,1.3,woodtr01
Vance Worley,0.6,worleva01
Jamey Wright,-0.3,wrighja01
Wesley Wright*,-0.6,wrighwe01
Michael Wuertz,-0.1,wuertmi01
Chris Young,1.0,youngch03
Mike Zagurski*,-0.3,zagurmi01
Carlos Zambrano,2.6,zambrca01
Brad Ziegler,0.7,zieglbr01
Jordan Zimmermann,-0.2,zimmejo02
Barry Zito*,1.1,zitoba01
Joel Zumaya,0.8,zumayjo01
